idx,name,met,tags
0,"Bicycling, mountain, uphill, vigorous",14,Bicycling
1,"Bicycling, BMX",8.5,Bicycling
2,"Bicycling, mountain, general",8.5,Bicycling
3,"Bicycling, to/from work, self selected pace",6.8,Bicycling
4,"Bicycling, on dirt or farm road, moderate pace",5.8,Bicycling
5,"Bicycling, general",7,Bicycling
6,"Bicycling, self-selected easy pace",4.3,Bicycling
7,"Bicycling, self-selected moderate pace",7,Bicycling
8,"Bicycling, self-selected vigorous pace",9,Bicycling
9,Unicycling,5,Bicycling
10,"Bicycling, stationary, general",6.8,Bicycling
11,"Bicycling, stationary, 25-30 watts, very light to light effort",3.5,Bicycling
12,"Bicycling, stationary, 50 watts, light effort",4,Bicycling
13,"Bicycling, stationary, 60 watts, light to moderate effort",5,Bicycling
14,"Bicycling, stationary, 70-80 watts",5.8,Bicycling
15,"Bicycling, stationary, 90-100 watts,  moderate to vigorous",6,Bicycling
16,"Bicycling, stationary, 101-125 watts",6.8,Bicycling
17,"Bicycling, stationary, 126-150 watts",8,Bicycling
18,"Bicycling, stationary, 151-199 watts",10.3,Bicycling
19,"Bicycling, stationary, 200-229 watts, vigorous",10.8,Bicycling
20,"Bicycling, stationary, 230-250 watts, very vigorous",12.5,Bicycling
21,"Bicycling, stationary, 270-305 watts, very vigorous",13.8,Bicycling
22,"Bicycling, stationary, >325 watts, very vigorous",16.3,Bicycling
23,"Bicycling, concentric only, 100 W",5.5,Bicycling
24,"Bicycling, concentric only, 200 W",11,Bicycling
25,"Bicycling, eccentric only, 100 to 149 W",2.3,Bicycling
26,"Bicycling, eccentric only, 200 W",4,Bicycling
27,"Bicycling, stationary, RPM/Spin bike class",9,Bicycling
28,"Bicycling, interactive virtual cycling, indoor cycle ergometer",8.8,Bicycling
29,"Bicycling, high intensity interval training",8.8,Bicycling
30,"Aerobic, general",7.3,Conditioning Exercise
31,"Aerobic, step, with 4-inch step",5.5,Conditioning Exercise
32,"Aerobic, step, with 6-8 inch step",7.3,Conditioning Exercise
33,"Aerobic, step, with 10-12 inch step",9,Conditioning Exercise
34,"Bench step class, general",7.8,Conditioning Exercise
35,"Aerobic dance, low impact, moderate effort",4.8,Conditioning Exercise
36,"Aerobic dance, high impact, vigorous effort",8,Conditioning Exercise
37,Aerobic dance wearing 10-15 lb weights,10,Conditioning Exercise
38,"Calisthenics (e.g., pushups, sit ups, pull-ups, jumping jacks, burpees, battling ropes), vigorous effort",7.5,Conditioning Exercise
39,"Calisthenics (e.g., pushups, sit ups, pull-ups, lunges), moderate effort",3.8,Conditioning Exercise
40,"Calisthenics (e.g., curl ups, abdominal crunches, plank),  light effort",2.8,Conditioning Exercise
41,"Calisthenics, light or moderate effort, general (e.g., back exercises), going up & down from floor",3.5,Conditioning Exercise
42,"Circuit training, body weight exercises",6,Conditioning Exercise
43,"Circuit training, light effort",3.5,Conditioning Exercise
44,"Circuit training, moderate effort",5,Conditioning Exercise
45,"Circuit training, including kettlebells, some aerobic movement with minimal rest, general, vigorous intensity",7.5,Conditioning Exercise
46,"Elliptical trainer, moderate effort",5,Conditioning Exercise
47,"Elliptical trainer, vigorous effort",9,Conditioning Exercise
48,"Resistance (weight lifting - free weight, nautilus or universal-type), power lifting or body building, vigorous effort",6,Conditioning Exercise
49,"Resistance (weight) training, squats, deadlift, slow or explosive effort",5,Conditioning Exercise
50,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance",3.5,Conditioning Exercise
51,"Resistance Training, circuit, reciprocol supersets, peripheral hear action training",5.8,Conditioning Exercise
52,"Body weight resistance exercises (e.g., squat, lunge, push-up, crunch), general",3,Conditioning Exercise
53,"Body weight resistance exercises (e.g., squat, lunge, push-up, crunch), high intensity",6.5,Conditioning Exercise
54,Kettle bell swings,9.8,Conditioning Exercise
55,"Health club exercise, general",5.5,Conditioning Exercise
56,"Health club exercise classes general, gym/weight training combined in one visit",5,Conditioning Exercise
57,"Health club exercise, conditioning classes",7.8,Conditioning Exercise
58,"Stair treadmill ergometer, general",9.3,Conditioning Exercise
59,"Rope skipping exercise, general",11,Conditioning Exercise
60,"Jumping rope, Digi-Jump Maching, 120 jumps/minute",9,Conditioning Exercise
61,"Rowing, stationary ergometer, general, vigorous effort",7.3,Conditioning Exercise
62,"Rowing, stationary ergometer, general, <100 watts,  moderate effort",5,Conditioning Exercise
63,"Rowing, stationary, 100 to 149 watts, vigorous effort",7.5,Conditioning Exercise
64,"Rowing, stationary, 150 to 199 watts, vigorous effort",11,Conditioning Exercise
65,"Rowing, stationary, 200+ watts, very vigorous effort",14,Conditioning Exercise
66,"Shuttle running, forward/backward/lateral",11,Conditioning Exercise
67,"Ski machine, general",6.8,Conditioning Exercise
68,"Ski ergometer, cross country, double poling, slow to moderate speed",10.5,Conditioning Exercise
69,"Ski ergometer, cross country, double poling, fast to maximum speed",18,Conditioning Exercise
70,"Slide board exercise, general",10.5,Conditioning Exercise
71,"Slimnastics, jazzercise",6,Conditioning Exercise
72,"Stretching, mild",2.3,Conditioning Exercise
73,"Pilates, traditional, mat",1.8,Conditioning Exercise
74,"Pilates, general",2.8,Conditioning Exercise
75,"Pound, combination of Pilates and body movements with drumming",8.5,Conditioning Exercise
76,"Pole dancing, exercise class",4.5,Conditioning Exercise
77,"Teaching exercise classes (e.g., aerobic, water)",6.8,Conditioning Exercise
78,"Therapeutic exercise ball, Fitball exercise",2.8,Conditioning Exercise
79,"Therapeutic exercise ball, Fitball exercise, high intensity",9.5,Conditioning Exercise
80,"Upper body exercise, arm ergometer, general, light",2.8,Conditioning Exercise
81,"Arm Ergometer, hand bike, 15W",2,Conditioning Exercise
82,"Arm Ergometer, hand bike, 25-30W",2.8,Conditioning Exercise
83,"Arm Ergometer, hand bike, 45W",3.5,Conditioning Exercise
84,"Upper body exercise, stationary bicycle - Airdyne (arms only) 40 rpm, moderate intensity",4.3,Conditioning Exercise
85,"Water aerobics, water calisthenics, water exercise",5.3,Conditioning Exercise
86,"Whirlpool, sitting",1.3,Conditioning Exercise
87,"Yoga, Hatha",2.3,Conditioning Exercise
88,"Yoga, Hatha, high intensity",8,Conditioning Exercise
89,"Yoga, Hot",3,Conditioning Exercise
90,"Yoga, Power",4,Conditioning Exercise
91,"Yoga, Nadisodhana",2,Conditioning Exercise
92,"Yoga, General",2.3,Conditioning Exercise
93,"Yoga, Surya Namaskar",3.5,Conditioning Exercise
94,"Yoga, Vinyasa",2.7,Conditioning Exercise
95,"Native New Zealander PA, (e.g., Haka Powhiri, Poi, Moteatea, etc.), general moderate effort",5.3,Conditioning Exercise
96,"Native New Zealander PA, general, vigorous effort",6.8,Conditioning Exercise
97,"High intensity interval exercise, moderate effort",7,Conditioning Exercise
98,"High intensity interval exercise,  burpees, mountain climbers, squat jumps, Tabata, vigorous effort",11,Conditioning Exercise
99,"Balance Exercise Assist Robot (BEAR), simulated skiing, tennis, rodeo",2.3,Conditioning Exercise
100,Hooping (formerly known as hula-hooping),5.8,Conditioning Exercise
101,"Impulse Training System, Inertial Exercise Trainer",9,Conditioning Exercise
102,"Virtual Reality Fitness,  Supernatural 'Flow' , 'Boxing' vigorous intensity",7.9,Conditioning Exercise
103,"Zumba, group class",6.5,Conditioning Exercise
104,"Zumba, home video",5.5,Conditioning Exercise
105,"Afro-Cuban salsa (Cuban cha-cha-cha, mambo, Afro rumba, contratiempo son steps, orisha/santo movements)",6,Dancing
106,"Ballet, modern, or jazz general, rehearsal or class",5,Dancing
107,"Ballet exercises (plie, tendus, jetes, rond de Jambes, fondus, grand battement, grand adage, sautes, temp Leve's)",6.3,Dancing
108,"Ballet, modern, or jazz, performance, vigorous effort",6.8,Dancing
109,Tap,4.8,Dancing
110,"Ethnic or cultural dancing (e.g. Greek, Middle Eastern, hula, salsa, merengue, bamba y plena,  flamenco, belly, and swing)",4.5,Dancing
111,"Chinese square dance, Ballet & Tibetan dance",5.5,Dancing
112,"Chinese square dance, aerobic dance",7.3,Dancing
113,"Ballroom dancing, fast",5.5,Dancing
114,"Folk dancing, moderate effort",5,Dancing
115,"Anishinaabe Jingle dancing, brisk pace, other traditional American Indian dancing performed by women, moderate effort",5.5,Dancing
116,"Caribbean dance (Abakua, Beguine, Bellair, Bongo, Brukin's, Caribbean Quadrills, Dinki  Mini, Gere, Gumbay, Ibo, Jonkonnu, Kumina,  Oreisha, Jambu)",3.5,Dancing
117,Flamenco dance,8.5,Dancing
118,"Jazz dancing, general",4.5,Dancing
119,"Musical Theater, Singing/dancing",10.3,Dancing
120,"Polynesian dance, Hawaiian hula slow, Maori haka, Tongan",5.8,Dancing
121,"Polynesian dance, Hawaiian hula fast, Samoan sasa, Fijian style fast, Filipino Tinikling",7,Dancing
122,"Polynesian dance, Samoan slap, Tahitian",8.8,Dancing
123,"Salsa Dancing, with partner",4.8,Dancing
124,"Salsa dancing, to a video",6.3,Dancing
125,"Square Dancing, American Western, country",5.5,Dancing
126,Jog/walk combination (jogging component of less than 10 minutes),6,Running
127,"Jogging, general, self-selected pace",7.5,Running
128,"Jogging, in place",4.8,Running
129,Jogging 2.6 to 3.7 mph,3.3,Running
130,Jogging on a mini-tramp,4.5,Running
131,"Running, 4 to 4.2 mph (13 min/mile)",6.5,Running
132,Running 4.3 to 4.8 mph,7.8,Running
133,"Running, 5.0 to 5.2 mph (12 min/mile)",8.5,Running
134,"Running, 5.5 -5.8 mph",9,Running
135,"Running, 6-6.3 mph (10 min/mile)",9.3,Running
136,"Running, 6.7 mph (9 min/mile)",10.5,Running
137,"Running, 7 mph (8.5 min/mile)",11,Running
138,"Running, 7.5 mph (8 min/mile)",11.8,Running
139,"Running, 8 mph (7.5 min/mile)",12,Running
140,"Running, 8.6 mph (7 min/mile)",12.5,Running
141,"Running, 9 mph (6.5 min/mile)",13,Running
142,"Running, 9.3 to 9.6 mph",14.8,Running
143,"Running, 10 mph (6 min/mile)",14.8,Running
144,"Running, 11 mph (5.5 min/mile)",16.8,Running
145,"Running, 12 mph (5.0 min/mile)",18.5,Running
146,"Running, 13 mph (4.6 min/mile)",19.8,Running
147,"Running, 14 mph (4.3 min/mile)",23,Running
148,"Running, cross country",9.3,Running
149,"Running, self-selected pace",10.5,Running
150,Running,8,Running
151,"Running, stairs, up",15,Running
152,"Running, on a track, team practice",10,Running
153,"Running uphill, 4.5mph, 5% incline",10.3,Running
154,"Running uphill, 6.0 mph, 5% incline",13.3,Running
155,"Running uphill, 7.0 mph, 5% incline",15.5,Running
156,"Running uphill, 5.0 to 5.9 mph, 15% incline",17.5,Running
157,"Running uphill, 0.6 to 0.79 mph, 30% incline",8.8,Running
158,"Running uphill, 0.8 to 0.99 mph, 30% incline",10.3,Running
159,"Running uphill, 1.0 to 1.19 mph, 30% incline",11.8,Running
160,"Running uphill, 1.2 to 1.39 mph, 30-40% incline",13.5,Running
161,"Running uphill, 1.4 to 1.59 mph, 30% incline",14.8,Running
162,"Running uphill, >1.6mph, 10-30% incline",16.3,Running
163,"Running, hilly terrain, 100m change in elevation",16,Running
164,"Running downhill, 5.0 to 5.9 mph, -10% to -15%",5.8,Running
165,"Running downhill, 6.0 to 6.9 mph, -10% to -15%",7.5,Running
166,"Running downhill, 7.0 to 8.9 mph, -10% to -15%",9,Running
167,"Running downhill, 6.0 to 7.9 mph, -3% to -9%",9.3,Running
168,"Running downhill, 8.0 to 10.5 mph, -3% to -9%",13.8,Running
169,"Running/jogging, curved treadmill, 3.0 to 3.9 mph",5.3,Running
170,"Running/jogging, curved treadmill, 4.0 to 4.9 mph",6.5,Running
