,solutions,execution_t,fitness_mean,fitness_std,met_mean,met_std
5000,413.6,18.279999999999998,19.946,17.157999999999998,4.68,4.944000000000001
10000,488.2,57.044,20.672,17.014000000000003,4.594,4.859999999999999
15000,485.6,138.916,19.490000000000002,16.558,4.566,4.892
20000,458.8,212.706,20.142,17.238,4.582,4.9
25000,470.4,375.66400000000004,19.328,16.869999999999997,4.617999999999999,4.901999999999999
30000,458.8,578.688,19.556,16.774,4.694,4.904
35000,493.0,826.454,20.014,16.991999999999997,4.630000000000001,4.928
40000,536.8,1100.05,19.868000000000002,16.253999999999998,4.5600000000000005,4.83
45000,474.4,1191.108,20.116,17.122,4.604,4.886
50000,488.6,1546.0780000000002,19.532,16.778,4.6579999999999995,4.938
55000,517.0,1757.52,20.1025,17.145000000000003,4.5925,4.8825
60000,497.6,2395.754,19.966,17.07,4.574,4.879999999999999
65000,500.2,2755.8419999999996,20.022,17.02,4.674,4.965999999999999
70000,479.0,2685.6599999999994,19.476,16.578,4.742,5.031999999999999
75000,506.8,4348.952,19.57,16.889999999999997,4.537999999999999,4.87
80000,489.4,4298.647999999999,19.404,16.648000000000003,4.596,4.9079999999999995
85000,461.8,4580.803999999999,19.858,16.779999999999998,4.6659999999999995,4.966
90000,499.2,6247.794,20.233999999999998,17.196,4.648000000000001,4.944000000000001
95000,464.4,5195.778,19.238,16.418000000000003,4.644,4.8759999999999994
100000,460.4,6599.382799999999,18.89,17.432,4.63,4.916
